Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Volume Fraction,Laplacian
0,0.125,-0.9375,-0.9375,0,0,0
0,0.125,-0.8125,-0.9375,0,0,0
0,0.125,-0.6875,-0.9375,0,0,0
0,0.125,-0.5625,-0.9375,0,0,0
2,0.125,-0.4375,-0.9375,0.120886,0.181141,253.574
2,0.125,-0.3125,-0.9375,0.131621,0.580995,152.267
2,0.125,-0.1875,-0.9375,0.127262,0.841039,157.367
2,0.125,-0.0625,-0.9375,0.125245,0.968506,176.911
2,0.125,0.0625,-0.9375,0.125245,0.968506,183.378
2,0.125,0.1875,-0.9375,0.127262,0.841037,207.762
2,0.125,0.3125,-0.9375,0.131621,0.580995,249.648
2,0.125,0.4375,-0.9375,0.120886,0.181141,483.256
0,0.125,0.5625,-0.9375,0,0,0
0,0.125,0.6875,-0.9375,0,0,0
0,0.125,0.8125,-0.9375,0,0,0
0,0.125,0.9375,-0.9375,0,0,0
0,0.125,-0.9375,-0.8125,0,0,0
0,0.125,-0.8125,-0.8125,0,0,0
2,0.125,-0.6875,-0.8125,0.047598,0.0356751,196.536
2,0.125,-0.5625,-0.8125,0.151385,0.586232,78.7911
2,0.125,-0.4375,-0.8125,0.0182342,0.994948,91.1606
1,0.125,-0.3125,-0.8125,0,1,128
1,0.125,-0.1875,-0.8125,0,1,160
1,0.125,-0.0625,-0.8125,0,1,192
1,0.125,0.0625,-0.8125,0,1,224
1,0.125,0.1875,-0.8125,0,1,256
1,0.125,0.3125,-0.8125,0,1,288
2,0.125,0.4375,-0.8125,0.0182342,0.994948,296.892
2,0.125,0.5625,-0.8125,0.151385,0.586232,284.425
2,0.125,0.6875,-0.8125,0.047598,0.0356753,796.81
0,0.125,0.8125,-0.8125,0,0,0
0,0.125,0.9375,-0.8125,0,0,0
0,0.125,-0.9375,-0.6875,0,0,0
2,0.125,-0.8125,-0.6875,0.047598,0.0356752,44.113
2,0.125,-0.6875,-0.6875,0.125246,0.749016,15.1345
1,0.125,-0.5625,-0.6875,0,1,32
1,0.125,-0.4375,-0.6875,0,1,64
1,0.125,-0.3125,-0.6875,0,1,96
1,0.125,-0.1875,-0.6875,0,1,128
1,0.125,-0.0625,-0.6875,0,1,160
1,0.125,0.0625,-0.6875,0,1,192
1,0.125,0.1875,-0.6875,0,1,224
1,0.125,0.3125,-0.6875,0,1,256
1,0.125,0.4375,-0.6875,0,1,288
1,0.125,0.5625,-0.6875,0,1,320
2,0.125,0.6875,-0.6875,0.125246,0.749016,264.072
2,0.125,0.8125,-0.6875,0.047598,0.0356752,796.413
0,0.125,0.9375,-0.6875,0,0,0
0,0.125,-0.9375,-0.5625,0,0,0
2,0.125,-0.8125,-0.5625,0.151385,0.586231,-32.8256
1,0.125,-0.6875,-0.5625,0,1,-32
1,0.125,-0.5625,-0.5625,0,1,0
1,0.125,-0.4375,-0.5625,0,1,32
1,0.125,-0.3125,-0.5625,0,1,64
1,0.125,-0.1875,-0.5625,0,1,96
1,0.125,-0.0625,-0.5625,0,1,128
1,0.125,0.0625,-0.5625,0,1,160
1,0.125,0.1875,-0.5625,0,1,192
1,0.125,0.3125,-0.5625,0,1,224
1,0.125,0.4375,-0.5625,0,1,256
1,0.125,0.5625,-0.5625,0,1,288
1,0.125,0.6875,-0.5625,0,1,320
2,0.125,0.8125,-0.5625,0.151385,0.586233,284.283
0,0.125,0.9375,-0.5625,0,0,0
2,0.125,-0.9375,-0.4375,0.120886,0.181142,-139.871
2,0.125,-0.8125,-0.4375,0.0182342,0.994948,-87.9732
1,0.125,-0.6875,-0.4375,0,1,-64
1,0.125,-0.5625,-0.4375,0,1,-32
1,0.125,-0.4375,-0.4375,0,1,0
1,0.125,-0.3125,-0.4375,0,1,32
1,0.125,-0.1875,-0.4375,0,1,64
1,0.125,-0.0625,-0.4375,0,1,96
1,0.125,0.0625,-0.4375,0,1,128
1,0.125,0.1875,-0.4375,0,1,160
1,0.125,0.3125,-0.4375,0,1,192
1,0.125,0.4375,-0.4375,0,1,224
1,0.125,0.5625,-0.4375,0,1,256
1,0.125,0.6875,-0.4375,0,1,288
2,0.125,0.8125,-0.4375,0.0182342,0.994948,296.925
2,0.125,0.9375,-0.4375,0.120886,0.181142,483.724
2,0.125,-0.9375,-0.3125,0.131621,0.580996,-115.617
1,0.125,-0.8125,-0.3125,0,1,-128
1,0.125,-0.6875,-0.3125,0,1,-96
1,0.125,-0.5625,-0.3125,0,1,-64
1,0.125,-0.4375,-0.3125,0,1,-32
1,0.125,-0.3125,-0.3125,0,1,0
1,0.125,-0.1875,-0.3125,0,1,32
1,0.125,-0.0625,-0.3125,0,1,64
1,0.125,0.0625,-0.3125,0,1,96
1,0.125,0.1875,-0.3125,0,1,128
1,0.125,0.3125,-0.3125,0,1,160
1,0.125,0.4375,-0.3125,0,1,192
1,0.125,0.5625,-0.3125,0,1,224
