Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Volume Fraction,Laplacian
1,0.03125,0.203125,-0.953125,0,1,4736
2,0.03125,0.234375,-0.953125,0.00202448,0.999263,4723.63
2,0.03125,0.265625,-0.953125,0.0324146,0.845808,3759.97
2,0.03125,0.296875,-0.953125,0.0327258,0.552829,4283.11
2,0.03125,0.328125,-0.953125,0.033082,0.223397,7464.38
2,0.03125,0.359375,-0.953125,0.00451373,0.00313246,42377
0,0.03125,0.390625,-0.953125,0,0,0
0,0.03125,0.421875,-0.953125,0,0,0
0,0.03125,0.453125,-0.953125,0,0,0
0,0.03125,0.484375,-0.953125,0,0,0
0,0.03125,0.515625,-0.953125,0,0,0
0,0.03125,0.546875,-0.953125,0,0,0
0,0.03125,0.578125,-0.953125,0,0,0
0,0.03125,0.609375,-0.953125,0,0,0
0,0.03125,0.640625,-0.953125,0,0,0
0,0.03125,0.671875,-0.953125,0,0,0
0,0.03125,0.703125,-0.953125,0,0,0
0,0.03125,0.734375,-0.953125,0,0,0
0,0.03125,0.765625,-0.953125,0,0,0
0,0.03125,0.796875,-0.953125,0,0,0
0,0.03125,0.828125,-0.953125,0,0,0
0,0.03125,0.859375,-0.953125,0,0,0
0,0.03125,0.890625,-0.953125,0,0,0
0,0.03125,0.921875,-0.953125,0,0,0
0,0.03125,0.953125,-0.953125,0,0,0
0,0.03125,0.984375,-0.953125,0,0,0
0,0.03125,-0.984375,-0.921875,0,0,0
0,0.03125,-0.953125,-0.921875,0,0,0
0,0.03125,-0.921875,-0.921875,0,0,0
0,0.03125,-0.890625,-0.921875,0,0,0
0,0.03125,-0.859375,-0.921875,0,0,0
0,0.03125,-0.828125,-0.921875,0,0,0
0,0.03125,-0.796875,-0.921875,0,0,0
0,0.03125,-0.765625,-0.921875,0,0,0
0,0.03125,-0.734375,-0.921875,0,0,0
0,0.03125,-0.703125,-0.921875,0,0,0
0,0.03125,-0.671875,-0.921875,0,0,0
0,0.03125,-0.640625,-0.921875,0,0,0
0,0.03125,-0.609375,-0.921875,0,0,0
0,0.03125,-0.578125,-0.921875,0,0,0
0,0.03125,-0.546875,-0.921875,0,0,0
0,0.03125,-0.515625,-0.921875,0,0,0
0,0.03125,-0.484375,-0.921875,0,0,0
0,0.03125,-0.453125,-0.921875,0,0,0
2,0.03125,-0.421875,-0.921875,0.0181224,0.0633722,4849.16
2,0.03125,-0.390625,-0.921875,0.033948,0.452576,2147.1
2,0.03125,-0.359375,-0.921875,0.0289745,0.855013,1816.85
1,0.03125,-0.328125,-0.921875,0,1,2432
1,0.03125,-0.296875,-0.921875,0,1,2560
1,0.03125,-0.265625,-0.921875,0,1,2688
1,0.03125,-0.234375,-0.921875,0,1,2816
1,0.03125,-0.203125,-0.921875,0,1,2944
1,0.03125,-0.171875,-0.921875,0,1,3072
1,0.03125,-0.140625,-0.921875,0,1,3200
1,0.03125,-0.109375,-0.921875,0,1,3328
1,0.03125,-0.078125,-0.921875,0,1,3456
1,0.03125,-0.046875,-0.921875,0,1,3584
1,0.03125,-0.015625,-0.921875,0,1,3712
1,0.03125,0.015625,-0.921875,0,1,3840
1,0.03125,0.046875,-0.921875,0,1,3968
1,0.03125,0.078125,-0.921875,0,1,4096
1,0.03125,0.109375,-0.921875,0,1,4224
