Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Boundary NormalX, Boundary NormalY,Volume Fraction,FirstX,FirstY,Laplacian
2,0.5,-0.75,-0.75,0.517638,-0.707107,-0.707107,0.267949,-0.353553,-0.353553,0.637259
2,0.5,-0.25,-0.75,0.516708,-0.316228,-0.948683,0.858845,-0.128609,-0.480392,0.599407
2,0.5,0.25,-0.75,0.516708,0.316228,-0.948683,0.858846,0.128609,-0.480392,0.599406
2,0.5,0.75,-0.75,0.517638,0.707107,-0.707107,0.267949,0.353553,-0.353553,0.637259
2,0.5,-0.75,-0.25,0.516708,-0.948683,-0.316228,0.858846,-0.480392,-0.128609,0.599407
1,0.5,-0.25,-0.25,0,0,0,1,0,0,0.1875
1,0.5,0.25,-0.25,0,0,0,1,0,0,0.1875
2,0.5,0.75,-0.25,0.516708,0.948683,-0.316228,0.858846,0.480392,-0.128609,0.599407
2,0.5,-0.75,0.25,0.516708,-0.948683,0.316228,0.858846,-0.480392,0.128609,0.599407
1,0.5,-0.25,0.25,0,0,0,1,0,0,0.1875
1,0.5,0.25,0.25,0,0,0,1,0,0,0.1875
2,0.5,0.75,0.25,0.516708,0.948683,0.316228,0.858846,0.480392,0.128609,0.599407
2,0.5,-0.75,0.75,0.517638,-0.707107,0.707107,0.267949,-0.353553,0.353553,0.637259
2,0.5,-0.25,0.75,0.516708,-0.316228,0.948683,0.858846,-0.128609,0.480392,0.599406
2,0.5,0.25,0.75,0.516708,0.316228,0.948683,0.858845,0.128609,0.480392,0.599407
2,0.5,0.75,0.75,0.517638,0.707107,0.707107,0.267949,0.353553,0.353553,0.637259
