Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Boundary NormalX, Boundary NormalY,Volume Fraction,FirstX,FirstY,Laplacian
0,0.5,-1.75,-1.75,0,0,0,0,0,0,0
0,0.5,-1.25,-1.75,0,0,0,0,0,0,0
0,0.5,-0.75,-1.75,0,0,0,0,0,0,0
0,0.5,-0.25,-1.75,0,0,0,0,0,0,0
0,0.5,0.25,-1.75,0,0,0,0,0,0,0
0,0.5,0.75,-1.75,0,0,0,0,0,0,0
0,0.5,1.25,-1.75,0,0,0,0,0,0,0
0,0.5,1.75,-1.75,0,0,0,0,0,0,0
0,0.5,-1.75,-1.25,0,0,0,0,0,0,0
0,0.5,-1.25,-1.25,0,0,0,0,0,0,0
2,0.5,-0.75,-1.25,0.594865,-0.514496,-0.857493,0.319301,0.000459847,0.0534489,1.50156
2,0.5,-0.25,-1.25,0.508203,-0.196116,-0.980581,0.736299,3.87242e-05,-0.0600511,1.46492
2,0.5,0.25,-1.25,0.508203,0.196116,-0.980581,0.736299,-3.87307e-05,-0.0600511,1.46492
2,0.5,0.75,-1.25,0.594865,0.514496,-0.857493,0.319301,-0.000459849,0.0534489,1.50156
0,0.5,1.25,-1.25,0,0,0,0,0,0,0
0,0.5,1.75,-1.25,0,0,0,0,0,0,0
0,0.5,-1.75,-0.75,0,0,0,0,0,0,0
2,0.5,-1.25,-0.75,0.594865,-0.857493,-0.514496,0.319301,0.0534489,0.000459845,1.50156
1,0.5,-0.75,-0.75,0,0,0,1,0,0,1.1875
1,0.5,-0.25,-0.75,0,0,0,1,0,0,0.6875
1,0.5,0.25,-0.75,0,0,0,1,0,0,0.6875
1,0.5,0.75,-0.75,0,0,0,1,0,0,1.1875
2,0.5,1.25,-0.75,0.594865,0.857493,-0.514496,0.319301,-0.0534489,0.000459848,1.50156
0,0.5,1.75,-0.75,0,0,0,0,0,0,0
0,0.5,-1.75,-0.25,0,0,0,0,0,0,0
2,0.5,-1.25,-0.25,0.508203,-0.980581,-0.196116,0.736299,-0.0600511,3.87368e-05,1.46492
1,0.5,-0.75,-0.25,0,0,0,1,0,0,0.6875
1,0.5,-0.25,-0.25,0,0,0,1,0,0,0.1875
1,0.5,0.25,-0.25,0,0,0,1,0,0,0.1875
1,0.5,0.75,-0.25,0,0,0,1,0,0,0.6875
2,0.5,1.25,-0.25,0.508203,0.980581,-0.196116,0.736299,0.0600511,3.87213e-05,1.46492
0,0.5,1.75,-0.25,0,0,0,0,0,0,0
0,0.5,-1.75,0.25,0,0,0,0,0,0,0
2,0.5,-1.25,0.25,0.508203,-0.980581,0.196116,0.736299,-0.0600511,-3.87213e-05,1.46492
1,0.5,-0.75,0.25,0,0,0,1,0,0,0.6875
1,0.5,-0.25,0.25,0,0,0,1,0,0,0.1875
1,0.5,0.25,0.25,0,0,0,1,0,0,0.1875
1,0.5,0.75,0.25,0,0,0,1,0,0,0.6875
2,0.5,1.25,0.25,0.508203,0.980581,0.196116,0.736299,0.0600511,-3.87368e-05,1.46492
0,0.5,1.75,0.25,0,0,0,0,0,0,0
0,0.5,-1.75,0.75,0,0,0,0,0,0,0
2,0.5,-1.25,0.75,0.594865,-0.857493,0.514496,0.319301,0.0534489,-0.000459848,1.50156
1,0.5,-0.75,0.75,0,0,0,1,0,0,1.1875
1,0.5,-0.25,0.75,0,0,0,1,0,0,0.6875
1,0.5,0.25,0.75,0,0,0,1,0,0,0.6875
1,0.5,0.75,0.75,0,0,0,1,0,0,1.1875
2,0.5,1.25,0.75,0.594865,0.857493,0.514496,0.319301,-0.0534489,-0.000459845,1.50156
0,0.5,1.75,0.75,0,0,0,0,0,0,0
0,0.5,-1.75,1.25,0,0,0,0,0,0,0
0,0.5,-1.25,1.25,0,0,0,0,0,0,0
2,0.5,-0.75,1.25,0.594865,-0.514496,0.857493,0.319301,0.000459849,-0.0534489,1.50156
2,0.5,-0.25,1.25,0.508203,-0.196116,0.980581,0.736299,3.87307e-05,0.0600511,1.46492
2,0.5,0.25,1.25,0.508203,0.196116,0.980581,0.736299,-3.87242e-05,0.0600511,1.46492
2,0.5,0.75,1.25,0.594865,0.514496,0.857493,0.319301,-0.000459847,-0.0534489,1.50156
0,0.5,1.25,1.25,0,0,0,0,0,0,0
0,0.5,1.75,1.25,0,0,0,0,0,0,0
0,0.5,-1.75,1.75,0,0,0,0,0,0,0
0,0.5,-1.25,1.75,0,0,0,0,0,0,0
0,0.5,-0.75,1.75,0,0,0,0,0,0,0
0,0.5,-0.25,1.75,0,0,0,0,0,0,0
0,0.5,0.25,1.75,0,0,0,0,0,0,0
0,0.5,0.75,1.75,0,0,0,0,0,0,0
0,0.5,1.25,1.75,0,0,0,0,0,0,0
0,0.5,1.75,1.75,0,0,0,0,0,0,0
