Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Boundary NormalX, Boundary NormalY,Volume Fraction,FirstX,FirstY,Laplacian
0,1,-1.5,-1.5,0,0,0,0,0,0,0
2,1,-0.5,-1.5,1.07967,-0.316228,-0.948683,0.2,0.00224737,0.32297,1.08249
2,1,0.5,-1.5,1.07967,0.316228,-0.948683,0.2,-0.00224738,0.32297,1.08249
0,1,1.5,-1.5,0,0,0,0,0,0,0
2,1,-1.5,-0.5,1.07967,-0.948683,-0.316228,0.2,0.32297,0.00224735,1.08249
1,1,-0.5,-0.5,0,0,0,1,0,0,0.75
1,1,0.5,-0.5,0,0,0,1,0,0,0.75
2,1,1.5,-0.5,1.07967,0.948683,-0.316228,0.2,-0.32297,0.00224738,1.08249
2,1,-1.5,0.5,1.07967,-0.948683,0.316228,0.2,0.32297,-0.00224738,1.08249
1,1,-0.5,0.5,0,0,0,1,0,0,0.75
1,1,0.5,0.5,0,0,0,1,0,0,0.75
2,1,1.5,0.5,1.07967,0.948683,0.316228,0.2,-0.32297,-0.00224735,1.08249
0,1,-1.5,1.5,0,0,0,0,0,0,0
2,1,-0.5,1.5,1.07967,-0.316228,0.948683,0.2,0.00224738,-0.32297,1.08249
2,1,0.5,1.5,1.07967,0.316228,0.948683,0.2,-0.00224737,-0.32297,1.08249
0,1,1.5,1.5,0,0,0,0,0,0,0
